^:<name=antho footnote=ck>	note
113.4	The National Land Conference of the Communist Party of China was held in September 1947 in Hsipaipo Village, Pingshan County, Hopei Province.^p The Outline Land Law of China, adopted by the conference on September 13, was published by the Central Committee of the Communist Party of China on October 10, 1947.^p It stipulated the following:^p Abolish the land system of feudal and semi-feudal exploitation and put into effect the system of land to the tillers.^p All the land of the landlords and the public land in the villages is to be taken over by the local peasant associations and, together with all other land there, is to be equally distributed among the entire rural population, regardless of sex or age.^p The peasant associations of the villages shall take over the draught animals farm tools, houses, grain and other property of the landlords, requisition the surplus of such property of the rich peasants, distribute all this property among the peasants and other poor people who are in need of it and allot the same share to the landlords.^p Thus the Outline Land Law not only confirmed the principle of "confiscation of the land of the landlords and its distribution among the peasants" laid down in the "May 4th Directive" of 1946 but also made up for the lack of thoroughness in that directive, which had shown too much consideration for certain landlords.
113.5	Subsequently in the implementation some changes were made in the method of equal distribution of land provided in the Outline Land Law of China.^p In February 1948 the Central Committee of the Communist Party of China specified in its "Directive on the Work of Land Reform and of Party Consolidation in the Old and Semi-Old Areas that in the old and semi-old Liberated Areas where the feudal system had already been overthrown, there would be no further equal distribution of land, but that the poor peasants and farm labourers who had not yet completely shaken off the feudal yoke should, if circumstances so required, be given a certain amount of land and other means of production through readjustment, by the method of taking from those who had a surplus and giving to those who had a shortage and taking from those who had better and giving to those who had worse, while the middle peasants would be allowed to keep more land than the average poor peasant.^p In areas where the feudal system still existed, equal distribution was confined mainly to the land and property of landlords and the surplus land and property of old-type rich peasants.^p In all areas, it was permissible to take the surplus land of middle peasants and new-type rich peasants for purposes of readjustment only if this was actually necessary and if the owners really consented.^p In the land reform in the new Liberated Areas, no land was to be taken from any middle peasant.
113.6	The question of the rich peasants in China's land reform was a peculiar one arising from her specific historical and economic conditions.^p China's rich peasants differed from those in many capitalist countries in two respects: first, they generally and to a great degree had the character of feudal and semi-feudal exploiters and, second, this rich peasant economy did not occupy an important place in the country's agricultural economy.^p In the struggle against feudal exploitation by the landlord class in China, the broad masses of poor peasants and farm labourers also demanded the abolition of feudal and semi-feudal exploitation by the rich peasants.^p During the War of Liberation, the Communist Party of China adopted the policy of requisitioning the surplus land and property of rich peasants for distribution among the peasants, and thus satisfied the demands of the masses of poor peasants and farm labourers and ensured victory in the People's War of Liberation.^p As the war progressed towards victory, the Central Committee of the Communist Party of China in February 1948 laid down new policies for the land reform in the new Liberated Areas.^p The reform was to be divided into two stages: in the first stage, neutralize the rich peasants and concentrate the blows on the landlords, primarily the big landlords; in the second stage, while distributing the land of the landlords, also distribute the land rented out by rich peasants and their surplus land, but continue to treat the rich peasants differently from the landlords (see "Essential Points in Land Reform in the New Liberated Areas", pp. 201-02 of this volume).^p After the founding of the People's Republic of China, the Central People's Government in June 1950 promulgated the Land Reform Law, which provided that in the land reform only the land rented out by the rich peasants should partly or wholly be requisitioned, while the rest of their land and property was to be protected.^p In the subsequent stage of socialist revolution, the rich peasant economy disappeared as the movement for agricultural co-operation deepened and the rural economy developed.
113.7	That is to say, a rich peasant household owned on the average more and better land than a poor peasant household.^p Taking the country as a whole, the quantity of the means of production owned by China's rich peasants and the volume of their farm produce were both very small.^p The rich peasant economy did not occupy an important place in China's rural economy.
113.8	This refers to the movement for rectifying the style of work conducted by the Communist Party of China in 1942-43 throughout the Party; its content was the combating of subjectivism, sectarianism and stereotyped writing.^p Under the leadership of Comrade Mao Tse-tung, this rectification movement adopted the principles of "learning from past mistakes to avoid their repetition, curing the sickness to save the patient" and "clearing up wrong thinking while uniting with comrades".^p Through the method of criticism and self-criticism, the movement corrected the "Left" and Right errors which had occurred on various occasions in the history of the Party by getting down to their ideological roots, greatly raised the ideological level of the broad ranks of Party cadres, helped immensely to unify thinking within the Party on the basis of Marxism-Leninism and thus brought about a high degree of unity in the whole Party.
113.9	In the early stage of the People's War of Liberation some democratic personages fancied that they could find a so-called third road, apart from the Kuomintang dictatorship of big landlords and big bourgeoisie and apart from the people's democratic dictatorship led by the Communist Party of China.^p This third road was in fact the road of a dictatorship of the bourgeoisie on the British and USA pattern.
113.10	The Information Bureau of the Communist and Workers' Parties was founded at a meeting held in Warsaw, Poland, in September 1947 by representatives of the Communist and Workers' Parties of Bulgaria, Rumania, Hungary, Poland, the Soviet Union, France, Czechoslovakia, Italy and Yugoslavia.^p Later, at a meeting in Rumania in June 1948, the Bureau announced the expulsion of the Yugoslav Communist Party because the latter persisted in its anti-Marxist-Leninist stand and adopted an attitude opposed to the Soviet Union and the socialist camp.^p The Information Bureau's call to the people of the world to rise against the imperialist plan of enslavement, mentioned here by Comrade Mao Tse-tung, was the "Declaration on the International Situation" adopted at the September 1947 meeting of the Information Bureau.
115.1	For the criteria for class identification in the rural areas, see "How to Analyse the Classes in the Rural Areas", , Vol. I, and "The Chinese Revolution and the Chinese Communist Party", Chapter 2, Section 4, , Vol. II.
115.2	.The new rich peasants were those who had developed from middle peasants or poor peasants in the revolutionary base areas.^p The old rich peasants were those who had already been rich peasants before the revolutionary base areas were established.^p The old rich peasants generally and to a great degree had the character of feudal and semi-feudal exploiters.^p See "The Present Situation and Our Tasks", Note 6, p. 175 of this volume.
115.3	Labour-exchange teams and work-exchange groups were organizations for mutual aid and co-operation in agriculture, "Labour-exchange" or "work-exchange" was a means by which the peasants adjusted labour-power among themselves and took such forms as the exchange of man-workdays for man-workdays, ox-workdays for ox-workdays and man-workdays for ox-workdays.^p Peasants who joined labour-exchange teams contributed their labour-power or animal-power to cultivate the land of each member-family in rotation or collectively.^p In settling accounts the workday was taken as the unit of exchange; those who contributed more man-workdays or animal-workdays were paid for the difference by those who contributed less.
115.4	This refers to the valuables buried by the landlords.
116.1	The "Three Check-ups" and "Three Improvements" constituted an important movement for Party consolidation and for ideological education in the army which was carried out by our Party in conjunction with the land reform during the People's War of Liberation.^p In the localities, the "Three Check-ups" meant checking on class origin, ideology and style of work; in the armed units, the check-ups were on class origin, performance of duty and will to fight.^p The "Three Improvements" meant organizational consolidation, ideological education and rectification of style of work.
116.2	Panlung, northeast of Yenan, was a town where the Northwest People's Liberation Army surrounded and wiped out over 6,700 Kuomintang troops under the command of Hu Tsung-nan in May 1947.
116.3	Shihchiachuang was liberated by units of the People's Liberation Army of the Shansi-Chahar-Hopei Border Region on November 12, 1947.^p Its enemy garrison of more than 24,000 men was totally destroyed.^p It was the first important city liberated by the People's Liberation Army in northern China.
117.1	Pingshan County situated in western Hopei Province, was then part of the Shansi-Chahar-Hopei Liberated Area.^p The experience of Pingshan here referred to consisted in inviting non-Party people to attend Party meetings so as to help the consolidation of the Party's primary organizations in the rural areas during the land reform.
117.2	This refers to the "Directive on the Land Question" issued by the Central Committee of the Communist Party of China on May 4, 1946.^p See "A Three Months Summary", Note 4, p. 118 of this volume.
117.3	"Movable property" refers to grain, money, clothing, etc.
117.4	See "The Present Situation and Our Tasks", Note 6, p. 175 of this volume.
119.1	See "Greet the New High Tide of the Chinese Revolution", Note 14, p. 127 of this volume.
120.1	The prefectural Party committee was a leading body lower than the provincial Party committee or Border Region Party committee but higher than the county Party committee.
121.1	See the first of the eight policies listed in "Manifesto of the Chinese People's Liberation Army", p. 150 of this volume.
121.2	Liu Shao-pai, an enlightened landlord of the Shansi-Suiyuan Border Region, had been elected Vice-Chairman of the Provisional Council of the Shansi-Suiyuan Border Region.^p Li Ting-ming, an enlightened landlord of northern Shensi Province had been elected Vice-Chairman of the Shensi-Kansu-Ningsia Border Region Government.
121.3	See "The Situation and Our Policy After the Victory in the War of Resistance Against Japan", Note 10, p. 25 of this volume.
122.1	See "Concentrate a Superior Force to Destroy the Enemy Forces One by One", Note 1, p. 106 of this volume.
122.2	Sanpien is an area in northwestern Shensi Province.^p Lungtung is the eastern part of Kansu Province.^p Both Sanpien and Lungtung were then prefectures in the Shensi-Kansu-Ningsia Liberated Area.
122.3	This refers to central Shensi and northwestern Kansu taken together.
122.4	Starting from June 30, 1947, 7 columns of the Shansi-Hopei-Shantung-Honan Field Army led by Liu Po-cheng, Teng Hsiao-ping and other comrades forced the Yellow River and pushed towards the Tapieh Mountains, thus ushering in the strategic offensive of the People's Liberation Army.^p By the end of March 1948, more than 100,000 enemy troops had been wiped out, and new base areas had been built on the Hupeh-Honan border, in western Anhwei, in the Tungpai mountain area on the Hupeh-Honan border, the plains between the Yangtse and Han Rivers and other places.^p Eight columns of the Eastern China Field Army led by Chen Yi, Su Yu and other comrades, having smashed the enemy's concentrated attacks on Shantung Province in August 1947, swept into southwestern Shantung and the Honan-Anhwei-Kiangsu Border Region, wiped out over 100,000 enemy troops, built the Honan-Anhwei-Kiangsu Liberated Area and isolated the enemy's strategic centres of Kaifeng and Chengchow.^p Two columns and one corps of the Taiyueh Army of the Shansi-Hopei-Shantung-Honan area, commanded by Chen Keng, Hsieh Fu-chih and other comrades, forced the Yellow River in southern Shansi in August 1947, advanced into western Honan, wiped out more than 40,000 enemy troops and built base areas on the Honan-Shensi-Hupeh border and in southern Shensi, completely isolating Loyang, the enemy's strategic centre in western Honan Province, and threatening Tungkuan.
122.5	From early September to mid-November 1947, 5 columns of the Shansi-Chahar-Hopei Field Army led by Nieh Jung-chen and other comrades fought successive battles in the area north of the Taching River and in the Chingfengtien area and the battle for the liberation of Shihchiachuang, wiping out a total of nearly 50,000 enemy troops and linking up the Shansi-Chahar-Hopei and Shansi-Hopei-Shantung-Honan Liberated Areas into one contiguous territory.^p From September to December 1947, 3 columns of the Shantung Army belonging to the Eastern China Field Army and regional armed forces fought the Eastern Shantung campaign under the command of Hsu Shih-yu, Tan Chen-lin and other comrades, wiping out more than 63,000 of the enemy and recovering more than ten county towns; this changed the whole situation in Shantung Province.^p From August to December 1947, units of the Eastern China Field Army in northern Kiangsu, in successive battles at Yencheng, Lipao and other points, annihilated more than 24,000 enemy troops and recovered a wide area in northern Kiangsu.^p In December 1947, units of the Shansi-Hopei-Shantung-Honan Field Army led by Hsu Hsiang-chien and other comrades fought in co-ordination with units of the Northwest Field Army and captured Yuncheng, destroying more than 13,000 enemy troops; they wiped out all the enemy forces in southwestern Shansi and isolated the enemy at Linfen.
122.6	Fighting continuously for ninety days from December 15, 1947 to March 15, 1948, 10 columns and 12 independent divisions of the Northeast Field Army led by Lin Piao, Lo Jung-huan and other comrades waged a winter offensive on an unprecedented scale along the Szepingkai-Tashihchiao section of the Chinese Changchun Railway and the Shanhaikuan-Shenyang section of the Peiping-Liaoning Railway; they wiped out more than 156,000 enemy troops and captured the enemy's heavily-fortified strategic centre of Szepingkai and eighteen other cities.^p One enemy division garrisoning Yingkow revolted and came over to our side.^p The enemy force defending the city of Kirin fled towards Changchun.^p After this, the area under enemy control in the Northeast shrank to only 1 per cent of the whole, and the enemy lairs in the cities along the Changchun-Shenyang-Chinchow line were isolated.
122.7	In the spring of 1948, following a period of training and consolidation in the previous winter, the field armies of the People's Liberation Army launched successive offensives.^p Between March and May, the Shansi-Chahar-Hopei Field Army and units of the Shansi-Hopei-Shantung-Honan and Shansi-Suiyuan Field Armies campaigned in southern Chahar, eastern Suiyuan and the Linfen area of Shansi, wiping out more than 43,000 enemy troops and recovering much territory.^p Between March 7 and May 29, units of the Central Plains and Eastern China Field Armies fought successive battles at Loyang and Sungho and in the sectors west and east of Nanyang, wiped out more than 56,000 enemy troops and thus crushed the enemy's defence system on the Central Plains and expanded and consolidated the Liberated Area there.^p Between March 11 and May 8, the Shantung Army of the Eastern China Field Army fought battles first on the western section of the Tsingtao-Tsinan Railway and then at Weihsien, wiping out more than 84,000 enemy troops.^p Thus, except for a few strong-points, such as Tsinan, Tsingtao, Linyi and Yenchow, which were held by the Kuomintang, Shantung Province was liberated.^p In March the Northern Kiangsu Army fought a successful battle at Yilin.
122.8	For the ten major principles of operation, see "The Present Situation and Our Tasks", Section 3, pp. 160-63 of this volume.
122.9	The Northwest Field Army led by Peng Teh-huai, Ho Lung, Hsi Chung-hsun and other comrades employed a main force of 2 columns and 2 brigades, totalling more than 25,000 men, in the fighting in northern Shensi in the summer of 1947.^p By the spring of 1948 the main force had increased to 5 columns, totalling more than 75,000 men.^p After having been steeled by a year's fighting and by the new type of ideological education movement in the army in the winter of 1947, the political consciousness of the broad masses of officers and soldiers and the combat effectiveness of the military units rose to unprecedented heights.^p This created the necessary conditions for the Northwest Field Army to turn to fighting on exterior lines in March 1948.^p On April 12, following its major victory at Yichuan, the Northwest Field Army launched a campaign in Hsifu (the area west of Sian and between the Chingshui and Weishui Rivers) and eastern Kansu, pushed forward into the broad area between the Chingshui and Weishui Rivers, cut the Sian-Lanchow highway, and on April 22 recovered Yenan.
123.1	See "The Present Situation and Our Tasks", Note 9, p. 176 of this volume.
123.2	In October 1947 the reactionary Kuomintang government ordered the dissolution of the Democratic League.^p Under pressure from the Kuomintang reactionaries, some wavering members of the Democratic League dissolved it and ceased activities.^p Other democratic parties, also being persecuted by the Kuomintang reactionaries, were then unable to function openly in the Kuomintang areas.^p In January 1948 Shen Chun-ju and other leaders of the Democratic League at a meeting in Hongkong decided to re-establish the League's leading body and resume the League's activities.^p In the same month Li Chi-shen and other members of the democratic wing of the Kuomintang established the Revolutionary Committee of the Kuomintang in Hongkong.^p Both these bodies agreed with the position of the Communist Party of China about the current situation and issued declarations calling for unity with the Communist Party and other democratic parties, the overthrow of the Chiang Kai-shek dictatorship and opposition to USA armed intervention in China's internal affairs.^p The wavering members of the Democratic League also accepted these slogans at that time.
123.3	The Kuomintang reactionaries held a bogus "National Assembly" in Nanking from March 29 to May 1, 1948, at which Chiang Kai-shek and Li Tsung-jen were "elected" "president" and "vice-president".
123.4	In May 1948 the Shansi-Chahar-Hopei Liberated Area and the Shansi-Hopei-Shantung-Honan Liberated Area were merged, and the Northern China Joint Administrative Council and the Northern China Military Area were established.^p In August of the same year the Northern China Joint Administrative Council was renamed the Northern China People's Government.
123.5	Shihchiachuang in western Hopei Province was the first major city in northern China liberated by the People's Liberation Army.
123.6	In December 1947 Pai Chung-hsi began attacking the Tapieh mountain area with 33 brigades.
123.7	At that time the estimate was that the entire Kuomintang army would be wiped out in about five years.^p The estimated time was later reduced to about three and a half years.^p See "The Momentous Change in China's Military Situation", pp. 287-88 of this volume.
124.1	Issued on February 1948, this directive of the Central Committee of the Communist Party of China summed up the experience of work in the land reform and Party consolidation in various Liberated Areas, laid down a series of policies and methods for the land reform and Party consolidation and stressed the correction of "Left" deviations which had occurred during the execution of these two tasks in certain areas.
124.2	See the introductory note to "The Present Situation and Our Tasks", pp. 158-59 of this volume.
124.3	This refers to the "Directive on Correcting Mistakes in the Determination of Class Status and on Uniting with the Middle Peasants" issued by the Shansi-Suiyuan Sub-Bureau of the Central Committee of the Communist Party of China on January 13, 1948.^p The directive is divided into five sections.^p The following are its main points:^p (1) Because the criteria for class identification had not been well-defined, quite a few persons were wrongly classified as bankrupt landlords or rich peasants on the spontaneous demands of the peasants, and in particular, well-to-do middle peasants were wrongly classified as rich peasants.^p This had an adverse effect on the effort to unite with the middle peasants and was wrong.^p (2) Proper measures were to be taken resolutely to persuade the peasants to correct these mistakes.^p  Suitable restitution was to be made of property that had been taken.^p (3) It was to be explained to the peasants and the cadres that the only criterion in class identification should be the relationship of exploitation.^p  Mistakes in determining class status were to be corrected.^p (4) The principle of relying on poor peasants and farm labourers and uniting with middle peasants had to be grasped.^p  The middle peasants were to be enabled to have one-third of the members of the peasant representative conferences and of the leading bodies of the peasant associations, and consideration was to be given to their interests in taxation and in the land reform.^p (5) Responsible cadres were to make a serious study of the Party's class policy for the rural areas.^p Mistakes that departed from the Party's policies concerning the middle peasants had to be corrected, they had to be corrected through the masses.^p Simultaneously with the issuance of this five-point directive, the Shansi-Suiyuan Sub-Bureau issued the "Directive on the Protection of Industry and Commerce" to correct the deviations of encroaching on industry and commerce during the land reform) .
124.4	This refers to the supply and marketing co-operatives.
125.1	See "How to Analyse the Classes in the Rural Areas", , Vol. I.
125.2	From the Book of Rites, "Miscellaneous Records", Part II.^p "Kings Wen and Wu could not keep a bow in permanent tension without relaxation.^p Nor would they leave it in a permanent state of relaxation without tension.^p The principle of Kings Wen and Wu was to alternate tension with relaxation." Wen and Wu were the first two kings of the Chou Dynasty (12th- 3rd century BC).
126.1	Loyang was an important stronghold of the Kuomintang troops in the western part of Honan Province.^p The People's Liberation Army first took Loyang on March 14, 1948, subsequently evacuated the city on its own initiative to facilitate the wiping out of the enemy's effective strength and recaptured Loyang on April 5, 1948.
128.1	The agencies of the Central Committee, as referred to here, were its bureaus and sub-bureaus.
129.1	The Liaohsi-Shenyang campaign was a gigantic campaign fought by the Northeast People's Liberation Army in the western part of Liaoning Province and in the Shenyang-Changchun area between September 12 and November 2, 1948.^p  On the eve of the campaign, the total strength of the Kuomintang forces in northeastern China consisted of 4 armies, made up of 14 corps, or 44 divisions.^p  These forces had shortened their lines and dug themselves in at three sectors isolated from each other, Changchun, Shenyang and Chinchow.^p  With the aim of completely wiping out the enemy troops in the Northeast and quickly liberating the whole of the Northeast,^p  the People's Liberation Army in this region, supported by the broad masses of the local people, began the Liaobsi-Shenyang campaign in September 1948 with a main force of 12 columns, 1 artillery column and regional armed forces, altogether totalling 53 divisions or over 700,000 men.^p  Chinchow, on the Peiping-Liaoning Railway, was the strategic link between northeastern and northern China.^p The enemy forces garrisoning the Chinchow sector consisted of 8 divisions, with more than 100,000 men under Fan Han-chieh, Deputy Commander-in-Chief of the Kuomintang's Northeast "Bandit Suppression" Headquarters.^p  The capture of Chinchow was the key to the success of the Liaohsi-Shenyang campaign.^p Acting on the directives of Comrade Mao Tse-tung,^p  the Northeast People's Liberation Army used 1 column and 7 independent divisions to continue the siege operations against Changchun; 6 columns, 1 artillery column and 1 tank battalion to surround and attack Chinchow and 2 columns,^p  placed in the Tashan-Kaochiao sector southwest of Chinchow, along with 3 columns in the Heishan-Tahushan-Changwu sector to intercept any reinforcements the enemy might send from Chinhsi and Hulutao and from Shenyang to relieve Chinchow.^p  The fighting in the Chinchow area started on September 12.^p Just as our army was mopping up the enemy in the outskirts of Chinchow after taking Ihsien, Chiang Kai-shek hurriedly flew to the Northeast to take personal charge of the operations and urgently summoned 5 enemy divisions from the Northern China "Bandit Suppression" Headquarters on the Peiping Liaoning Railway and 2 divisions from Shantung Province to join the 4 divisions in Chinhsi;^p  all these 11 divisions began a furious attack on our positions at Tashan on October 10 but could not break through.^p  Meanwhile, the Kuomintang 9th Army under Liao Yao-hsiang, with 11 divisions and 3 cavalry brigades, which had sallied out from Shenyang to rescue Chinchow, was intercepted by our army northeast of Heishan and Tahushan.^p Our army began the assault on Chinchow on October 14 and, after thirty-one hours of fierce fighting, completely wiped out the defending enemy forces,^p  capturing Fan Han-chieh, Deputy Commander-in-Chief of the Northeast "Bandit Suppression" Headquarters, Lu Chun-chuan, Commander of the 6th Army, and more than 100,000 men under their command.^p  The liberation of Chinchow impelled part of the enemy forces at Changchun to revolt against the Kuomintang and the rest to surrender.^p  The complete collapse of the Kuomintang troops in the Northeast then became a foregone conclusion.^p  But Chiang Kai-shek, still dreaming of recapturing Chinchow and of reopening the line of communications between northeastern and northern China,^p  gave strict orders to the army under Liao Yao-hsiang to continue its advance towards Chinchow.^p After taking Chinchow, the People's Liberation Army immediately swung back to the northeast and closed in on Liao's army from the north and south of Heishan and Tahushan.^p  On October 26 the People's Liberation Army succeeded in surrounding the enemy in the Heishan-Tahushan-Hsinmin sector and, after stiff fighting lasting two days and one night, completely wiped them out, capturing army commander Liao Yao-hsiang, corps commanders Li Tao, Pai Feng-wu and Cheng Ting-chi, and more than 100,000 men.^p  Our army vigorously followed up this victory and liberated Shenyang and Yingkow on November 2, wiping out over 149,000 enemy troops.^p  The whole of the Northeast was thus liberated.^p A total of more than 470,000 enemy troops were wiped out in the campaign.
129.2	See "A Circular on the Situation", Note 7, p. 226 of this volume.
129.3	On November 1, 1948, the Revolutionary Military Commission of the Central Committee of the Communist Party of China classified all troops in the big strategic areas into field, regional and guerrilla forces in accordance with decisions made at the September meeting of the Political Bureau of the Central Committee.^p  The field forces were organized into field armies.^p A field army was composed of armies, an army of corps (originally called columns), a corps of divisions, and a division of regiments.^p In accordance with their locations, the field armies were designated the Northwest Field Army, Central Plains Field Army, Eastern China Field Army, Northeast field Army and Northern China Field Army of the Chinese People's Liberation Army.^p  The number of armies, corps and divisions in each field army differed according to the concrete conditions in each big strategic area.^p  Later, the Northwest Field Army was renamed the First Field Army, comprising 2 armies; the Central Plains Field Army was renamed the Second Field Army, comprising 3 armies; the Eastern China Field Army was renamed the Third Field Army, comprising 4 armies; and the Northeast Field Army was renamed the Fourth Field Army, comprising 4 armies.^p  The 3 armies making up the Northern China Field Army were placed under the direct command of the General Headquarters of the Chinese People's Liberation Army.
131.1	The first betrayal by the Kuomintang was in 1927.^p The betrayal here mentioned is the all-out counter-revolutionary civil war launched by the Kuomintang after the conclusion of the War of Resistance Against Japan.
131.2	The defeat of the revolution in the south was the defeat of the Chinese Red Army's fifth campaign against the Kuomintang's "encirclement and suppression" and the withdrawal of our main force from the southern revolutionary bases in 1934; this was the consequence of the third "Left" deviationist line represented in the Party by Wang Ming.
131.3	This refers to Kuomintang soldiers who were liberated through capture by the People's Liberation Army and joined its ranks after having been educated.
131.4	The slogan of convening a political consultative conference was put forward by Comrade Mao Tse-tung.^p At his suggestion, one of the "May Day Slogans" for 1948 issued by the Central Committee of the Communist Party of China stated, "All democratic parties, people's organizations and public personages should quickly call a political consultative conference to discuss and carry out the convening of a people's congress and the formation of a democratic coalition government." This slogan won an immediate warm response from the democratic parties, people's organizations and democrats without party affiliation in the Kuomintang areas.^p The political consultative conference was later renamed the New Political Consultative Conference and finally the Chinese People's Political Consultative Conference.^p See "Address to the Preparatory Meeting of the New Political Consultative Conference", Note 1, pp. 408-09 of this volume.
131.5	This refers to "The Resolution of the Central Committee of the Communist Party of China on the Convening of Congresses and Conferences of the Party at Various Levels".^p The resolution made the following provisions for the broadening and building of regular democratic life within the Party: Party committees at various levels should regularly convene Party congresses and conferences at their respective levels, as required by the Party Constitution.^p These congresses and conferences should be vested with all the powers stipulated in the Party Constitution, and there must be no infringement.^p Adequate preparations should be made before meetings.^p Inner-Party controversies should be reported promptly and truthfully to the higher levels and important controversies must be reported to the Central Committee.^p The resolution also provided for strengthening the Party committee system and required that the rule that important questions must be decided collectively after discussion by the Party committee should be enforced by Party committees at all levels, that no decisions on important matters should be made by an individual and that neither collective leadership nor individual responsibility should be overemphasized to the neglect of the other.
131.6	The Sixth National Labour Congress was held in Harbin in August 1948.^p The All-China Federation of Trade Unions, the unified national organization of the Chinese working class, was re-established at the congress.^p The previous five National Labour Congresses were held in 1922, 1925, 1926, 1927 and 1929 respectively.
131.7	The First National Women's Congress was held in March 1949 in Peiping.^p The All-China Federation of Democratic Women, the leading body for the organizations of the masses of women throughout the country, was founded at this congress.^p It was later renamed the National Women's Federation of the People's Republic of China.
131.8	.The first session of the National Youth Congress was held in May 1949 in Peiping.^p The All-China Federation of Democratic Youth was founded at this session.^p It was later renamed the All-China Youth Federation.
131.9	The New Democratic Youth League was founded in January 1949 in accordance with a decision by the Central Committee of the Communist Party of China.^p Its First National Congress was held in Peiping in April 1949.^p It was renamed the Communist Youth League at its Third National Congress in May 1957.
132.1	The Huai-Hai campaign was a campaign of decisive importance fought by the People's Liberation Army over a large territory in Kiangsu, Shantung, Anhwei and Honan Provinces, centering on Hsuchow, and extending as far as Haichow in the east, Shangchiu in the west, Lincheng (now renamed Hsuehcheng) in the north and the Huai River in the south.^p  The Kuomintang forces massed in this theatre of war consisted of 5 armies and the troops of three Pacification Zones --^p  the 4 armies and the troops of three Pacification Zones under Liu Chih and Tu Yu-ming (respectively Commander and Deputy Commander of the Kuomintang's "Bandit Suppression" Headquarters at Hsuchow) and the army under Huang Wei, which was later dispatched there from central China as reinforcements.^p  On the side of the People's Liberation Army, a force more than 600,000 strong took part in the campaign -- it included 16 columns from the Eastern China Field Army, 7 columns from the Central Plains Field Army and regional armed forces from the Eastern China Military Area, the Central Plains Military Area and the Hopei-Shantung-Honan Military Area (then a part of the Northern China Military Area).^p  The campaign lasted sixty-five days, from November 6, 1948 to January 10, 1949; 22 corps, or 56 divisions, of the Kuomintang's crack forces, comprising 555,000 men, were completely wiped out (including 4 divisions which revolted and came over), and 2 armies under Liu Ju-ming and Li Yen-nien (reinforcements from Nanking) were repulsed.^p  As a result of the campaign, those parts of the eastern China and Central Plains areas north of the Yangtse River were almost entirely liberated.^p The campaign took place in three stages.^p  During the first stage, November 6-22, the Eastern China Field Army, in co-ordination with the Central Plains Field Army, surrounded and wiped out the army under Huang Po-tao in the Hsinanchen-Nienchuang sector east of Hsuchow, killing Huang Po-tao and liberating large territories on both sides of the Lunghai Railway east of Nienchuang, on both sides of the Hsuchow-Pengpu section of the Tientsin-Pukow Railway and to the west and north of Hsuchow.^p  In the Taierhchuang-Tsaochuang sector, 3 divisions of the Kuomintang 3rd Pacification Zone, totalling over 23,000 men, revolted and came over to us.^p  During the second stage, from November 23 to December 15, the Central Plains Field Army, in coordination with the main force of the Eastern China Field Army, surrounded and wiped out the army under Huang Wei at and around Shuangtuichi, southwest of Suhsien, capturing Huang Wei and Wu Shao-chou, the commander and deputy commander of the army; 1 division of this army revolted and came over to us.^p  At the same time, our forces wiped out the army under Sun Yuan-liang which was fleeing west from Hsuchow.^p  Only Sun Yuan-liang managed to escape.^p During the third stage, from January 6 to 10, 1949, the Eastern China Field Army, in co-ordination with the Central Plains Field Army, surrounded and annihilated in the Chinglungchi-Chenkuanchuang sector, northeast of Yungcheng, 2 Kuomintang armies which were fleeing westward from Hsuchow and were commanded respectively by Chiu Ching-chuan and Li Mi, under the personal command of Tu Yu-ming.^p  Tu Yu-ming was captured, Chiu Ching-chuan was killed and Li Mi barely escaped.^p This marked the successful end of the great Huai-Hai campaign.
132.2	"Capturing Tsinan and attacking the enemy's reinforcements" refers to the tactics employed by the People's Liberation Army during the Tsinan campaign in the middle of September 1948.^p Tsinan, a strategic position of the Kuomintang in Shantung Province, was garrisoned by over 110,000 men of the Kuomintang 2nd Pacification Zone.^p  In addition, 23 brigades of the Kuomintang's main forces, with some 170,000 men, which were disposed in the Hsuchow area, were ready to move north to relieve Tsinan.^p  Our Eastern China Field Army formed a group of 7 columns to assault the city and another group of 8 columns to strike at the enemy's reinforcements.^p  The onslaught against Tsinan started on the evening of September 16, 1948.^p On September 24, after eight days and nights of continuous fighting, the enemy garrison was completely wiped out (1 corps revolted and came over to us), and Wang Yao-wu, Commander of the Kuomintang 2nd Pacification Zone, was captured.^p Our forces took Tsinan so rapidly that the enemy at Hsuchow did not dare to go north to its rescue.
132.3	In fact, these 2 enemy divisions did not dare to come.
133.1	From "The October Revolution and the National Question", Section III, "The World-wide Significance of the October Revolution", J. V. Stalin, Works, Eng. ed., Moscow, 1953, Vol. IV, pp. 169-70.
134.1	The Sui-Ki campaign, also known as the Eastern Honan campaign, was fought by the People's Liberation Army in the sector comprising Kaifeng, Suihsien and Kihsien.^p The campaign started on June 17, 1948.^p On June 22 our army captured Kaifeng.^p To save his critical military situation, Chiang Kai-shek went to the front, took personal command and mustered 3 armies under Chiu Ching-chuan, Ou Shou-nien and Huang Po-tao to start an attack on Kaifeng from several directions.^p Six columns of our Eastern China Field Army, 2 columns of our Central Plains Field Army and our Kwangtung-Kwangsi Column surrounded the armies under Ou Shou-nien and Huang Po-tao in the Suihsien-Kihsien sector and, after nine days and nights of fierce fighting (June 27-July 6), they wiped out 2 divisions, or 6 brigades, of Ou Shou-nien's army and a part of Huang Po-tao's army, a total of over 90,000 men.^p Ou Shou-nien, army commander, and Shen Cheng-nien, Commander of the Reorganized 75th Division, were captured.^p For the Tsinan campaign, see "The Concept of Operations for the Huai-Hai Campaign", Note 2, p. 282 of this volume.
